sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_342,342,1,1,2,Design
RandomTask_91,91,1,1,6,Design FrontEnd
RandomTask_400,400,1,1,2,BackEnd FrontEnd
RandomTask_95,95,1,2,7,Design
RandomTask_79,79,1,2,6,Design FrontEnd
RandomTask_43,43,1,4,4,BackEnd
RandomTask_364,364,1,2,2,BackEnd FrontEnd
RandomTask_347,347,1,5,3,FrontEnd
RandomTask_295,295,1,7,1,BackEnd
RandomTask_331,331,1,2,3,BackEnd FrontEnd
RandomTask_286,286,1,5,7,Design
RandomTask_35,35,1,2,2,BackEnd FrontEnd
RandomTask_103,103,1,5,6,Design
RandomTask_298,298,1,2,3,BackEnd FrontEnd
RandomTask_31,31,1,2,2,BackEnd FrontEnd
RandomTask_247,247,1,7,4,BackEnd
RandomTask_336,336,1,3,3,BackEnd FrontEnd
RandomTask_89,89,1,2,2,BackEnd Design FrontEnd
RandomTask_261,261,1,6,7,Design
RandomTask_46,46,1,7,1,BackEnd
RandomTask_10,10,1,8,6,Design
RandomTask_363,363,1,4,2,BackEnd Design FrontEnd
RandomTask_167,167,1,4,3,Design FrontEnd
RandomTask_156,156,1,5,1,BackEnd FrontEnd
RandomTask_209,209,1,9,4,BackEnd
RandomTask_318,318,1,6,3,BackEnd FrontEnd
RandomTask_227,227,1,5,2,BackEnd FrontEnd
RandomTask_297,297,1,8,6,Design FrontEnd
RandomTask_158,158,1,10,7,Design
RandomTask_271,271,1,5,1,BackEnd Design
RandomTask_64,64,1,5,4,BackEnd Design
RandomTask_349,349,1,6,2,BackEnd Design
RandomTask_161,161,1,7,3,BackEnd FrontEnd
RandomTask_268,268,1,7,6,BackEnd Design FrontEnd
RandomTask_30,30,1,7,7,BackEnd FrontEnd
RandomTask_375,375,1,9,1,BackEnd FrontEnd
RandomTask_294,294,1,10,4,BackEnd Design
RandomTask_16,16,1,9,2,BackEnd FrontEnd
RandomTask_376,376,1,8,3,BackEnd Design FrontEnd
RandomTask_115,115,1,10,6,BackEnd Design FrontEnd
RandomTask_140,140,1,10,7,BackEnd Design FrontEnd
