sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_162,162,1,1,1,BackEnd FrontEnd Design
RandomTask_178,178,1,3,2,BackEnd FrontEnd Design
RandomTask_189,189,1,6,3,BackEnd FrontEnd Design
RandomTask_186,186,1,7,6,BackEnd FrontEnd Design
RandomTask_167,167,1,4,2,FrontEnd Design
RandomTask_161,161,1,7,7,BackEnd FrontEnd
RandomTask_163,163,1,7,4,BackEnd Design
RandomTask_166,166,1,7,1,BackEnd FrontEnd
RandomTask_170,170,1,4,3,BackEnd Design
RandomTask_175,175,1,4,6,FrontEnd Design
RandomTask_169,169,1,5,1,FrontEnd Design
RandomTask_168,168,1,6,4,FrontEnd Design
RandomTask_184,184,1,7,2,BackEnd FrontEnd
RandomTask_188,188,1,7,7,FrontEnd Design
RandomTask_187,187,1,3,4,BackEnd FrontEnd
RandomTask_177,177,1,5,1,BackEnd FrontEnd
RandomTask_180,180,1,2,1,BackEnd
RandomTask_172,172,1,10,3,FrontEnd Design
RandomTask_179,179,1,4,4,Design
RandomTask_176,176,1,10,6,FrontEnd Design
RandomTask_165,165,1,7,2,Design
RandomTask_174,174,1,7,7,BackEnd
RandomTask_173,173,1,3,3,Design
RandomTask_164,164,1,3,4,BackEnd
RandomTask_182,182,1,3,2,BackEnd
RandomTask_185,185,1,3,3,FrontEnd
RandomTask_171,171,1,6,6,FrontEnd
RandomTask_181,181,1,8,1,BackEnd
RandomTask_183,183,1,9,7,FrontEnd
