sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_152,152,1,1,1,FrontEnd
RandomTask_48,48,1,1,2,Design FrontEnd
RandomTask_117,117,1,1,6,FrontEnd
RandomTask_59,59,1,1,3,FrontEnd
RandomTask_150,150,1,1,1,Design FrontEnd
RandomTask_173,173,1,3,4,Design
RandomTask_113,113,1,2,6,BackEnd Design
RandomTask_85,85,1,2,2,BackEnd
RandomTask_88,88,1,5,7,Design
RandomTask_21,21,1,5,1,FrontEnd
RandomTask_245,245,1,6,3,Design
RandomTask_190,190,1,5,6,BackEnd
RandomTask_100,100,1,6,1,FrontEnd
RandomTask_362,362,1,10,4,Design
RandomTask_37,37,1,6,2,BackEnd
RandomTask_82,82,1,10,7,Design
RandomTask_203,203,1,6,3,FrontEnd
RandomTask_348,348,1,6,1,FrontEnd
RandomTask_169,169,1,5,4,Design FrontEnd
RandomTask_55,55,1,7,2,BackEnd
RandomTask_5,5,1,6,6,FrontEnd
RandomTask_312,312,1,4,3,BackEnd Design FrontEnd
RandomTask_192,192,1,6,7,BackEnd Design
RandomTask_242,242,1,7,1,Design FrontEnd
RandomTask_142,142,1,9,4,BackEnd Design
RandomTask_393,393,1,10,2,BackEnd Design
RandomTask_96,96,1,7,6,BackEnd Design FrontEnd
RandomTask_276,276,1,10,3,Design FrontEnd
RandomTask_344,344,1,10,7,BackEnd Design
RandomTask_115,115,1,10,1,BackEnd Design FrontEnd
