sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_322,322,1,1,3,BackEnd FrontEnd
RandomTask_258,258,1,1,6,Design
RandomTask_400,400,1,1,4,BackEnd FrontEnd
RandomTask_267,267,1,1,3,BackEnd
RandomTask_97,97,1,3,2,Design
RandomTask_306,306,1,2,4,BackEnd
RandomTask_185,185,1,3,7,FrontEnd
RandomTask_35,35,1,2,3,BackEnd FrontEnd
RandomTask_22,22,1,3,4,BackEnd FrontEnd
RandomTask_355,355,1,5,1,Design
RandomTask_234,234,1,3,7,FrontEnd
RandomTask_365,365,1,3,3,BackEnd FrontEnd
RandomTask_88,88,1,5,6,Design
RandomTask_379,379,1,1,6,BackEnd Design
RandomTask_18,18,1,1,6,BackEnd Design FrontEnd
RandomTask_360,360,1,3,4,BackEnd FrontEnd
RandomTask_27,27,1,4,7,FrontEnd
RandomTask_282,282,1,4,3,BackEnd FrontEnd
RandomTask_350,350,1,2,6,Design FrontEnd
RandomTask_141,141,1,8,2,Design
RandomTask_8,8,1,2,6,Design FrontEnd
RandomTask_197,197,1,2,2,BackEnd Design
RandomTask_338,338,1,5,4,FrontEnd
RandomTask_311,311,1,5,7,FrontEnd
RandomTask_37,37,1,6,3,BackEnd
RandomTask_307,307,1,3,6,BackEnd Design
RandomTask_60,60,1,10,1,Design
RandomTask_137,137,1,4,2,Design FrontEnd
RandomTask_100,100,1,6,4,FrontEnd
RandomTask_171,171,1,6,7,FrontEnd
RandomTask_277,277,1,4,6,BackEnd Design
RandomTask_271,271,1,5,1,BackEnd Design
RandomTask_319,319,1,5,2,Design FrontEnd
RandomTask_255,255,1,7,3,FrontEnd
RandomTask_291,291,1,4,2,BackEnd Design FrontEnd
RandomTask_194,194,1,5,6,Design FrontEnd
RandomTask_247,247,1,7,4,BackEnd
RandomTask_192,192,1,6,1,BackEnd Design
RandomTask_398,398,1,7,7,FrontEnd
RandomTask_205,205,1,9,3,BackEnd
RandomTask_262,262,1,7,2,Design FrontEnd
RandomTask_163,163,1,7,6,BackEnd Design
RandomTask_375,375,1,9,4,BackEnd FrontEnd
RandomTask_86,86,1,10,1,BackEnd
RandomTask_66,66,1,10,7,FrontEnd
RandomTask_297,297,1,8,2,Design FrontEnd
RandomTask_343,343,1,9,3,BackEnd FrontEnd
RandomTask_320,320,1,6,7,BackEnd Design FrontEnd
RandomTask_272,272,1,9,6,Design FrontEnd
RandomTask_120,120,1,6,1,BackEnd Design FrontEnd
RandomTask_334,334,1,10,4,BackEnd FrontEnd
RandomTask_50,50,1,9,2,BackEnd Design FrontEnd
RandomTask_121,121,1,9,3,BackEnd Design FrontEnd
