sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_204,204,1,1,6,BackEnd Design
RandomTask_263,263,1,2,3,BackEnd Design
RandomTask_154,154,1,3,7,FrontEnd
RandomTask_237,237,1,3,1,BackEnd
RandomTask_83,83,1,3,6,BackEnd Design
RandomTask_111,111,1,4,2,FrontEnd
RandomTask_305,305,1,1,7,Design FrontEnd
RandomTask_314,314,1,1,2,BackEnd Design FrontEnd
RandomTask_51,51,1,6,4,FrontEnd
RandomTask_359,359,1,2,7,BackEnd FrontEnd
RandomTask_271,271,1,5,3,BackEnd Design
RandomTask_373,373,1,5,1,Design
RandomTask_110,110,1,6,6,Design
RandomTask_22,22,1,3,2,BackEnd FrontEnd
RandomTask_365,365,1,3,4,BackEnd FrontEnd
RandomTask_238,238,1,3,2,BackEnd Design FrontEnd
RandomTask_192,192,1,6,3,BackEnd Design
RandomTask_323,323,1,4,7,BackEnd FrontEnd
RandomTask_370,370,1,6,1,BackEnd Design
RandomTask_68,68,1,7,6,BackEnd Design
RandomTask_69,69,1,5,4,Design FrontEnd
RandomTask_194,194,1,5,2,Design FrontEnd
RandomTask_46,46,1,7,3,BackEnd
RandomTask_174,174,1,7,1,BackEnd
RandomTask_168,168,1,6,7,Design FrontEnd
RandomTask_181,181,1,8,6,BackEnd
RandomTask_317,317,1,6,4,Design FrontEnd
RandomTask_188,188,1,7,2,Design FrontEnd
RandomTask_102,102,1,9,3,Design
RandomTask_313,313,1,5,4,BackEnd Design FrontEnd
RandomTask_344,344,1,10,1,BackEnd Design
RandomTask_30,30,1,7,7,BackEnd FrontEnd
RandomTask_288,288,1,10,6,BackEnd
RandomTask_377,377,1,5,2,BackEnd Design FrontEnd
RandomTask_40,40,1,6,4,BackEnd Design FrontEnd
RandomTask_256,256,1,10,3,BackEnd Design
RandomTask_80,80,1,10,7,BackEnd FrontEnd
RandomTask_44,44,1,10,6,Design FrontEnd
RandomTask_11,11,1,10,1,BackEnd FrontEnd
