sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_322,322,1,1,3,BackEnd FrontEnd
RandomTask_292,292,1,1,2,BackEnd Design FrontEnd
RandomTask_113,113,1,2,1,BackEnd Design
RandomTask_371,371,1,1,7,BackEnd Design
RandomTask_307,307,1,3,3,BackEnd Design
RandomTask_134,134,1,3,2,BackEnd FrontEnd
RandomTask_359,359,1,2,6,BackEnd FrontEnd
RandomTask_138,138,1,3,1,BackEnd Design FrontEnd
RandomTask_353,353,1,3,4,BackEnd
RandomTask_193,193,1,4,3,Design FrontEnd
RandomTask_175,175,1,4,2,Design FrontEnd
RandomTask_226,226,1,4,1,BackEnd Design FrontEnd
RandomTask_27,27,1,4,7,FrontEnd
RandomTask_252,252,1,5,3,BackEnd Design FrontEnd
RandomTask_169,169,1,5,2,Design FrontEnd
RandomTask_171,171,1,6,6,FrontEnd
RandomTask_198,198,1,6,1,Design FrontEnd
RandomTask_203,203,1,6,4,FrontEnd
RandomTask_133,133,1,6,3,Design FrontEnd
RandomTask_38,38,1,6,2,Design FrontEnd
RandomTask_77,77,1,7,7,FrontEnd
RandomTask_397,397,1,7,1,BackEnd FrontEnd
RandomTask_231,231,1,7,3,BackEnd Design FrontEnd
RandomTask_385,385,1,7,2,Design FrontEnd
RandomTask_3,3,1,7,6,Design
RandomTask_159,159,1,7,4,Design
RandomTask_104,104,1,7,1,BackEnd FrontEnd
RandomTask_143,143,1,8,3,Design
RandomTask_157,157,1,8,7,BackEnd
RandomTask_118,118,1,9,2,BackEnd FrontEnd
RandomTask_109,109,1,9,1,BackEnd Design FrontEnd
RandomTask_60,60,1,10,6,Design
RandomTask_362,362,1,10,3,Design
RandomTask_303,303,1,10,4,Design
RandomTask_239,239,1,10,2,Design
RandomTask_215,215,1,10,7,Design FrontEnd
