sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_59,59,1,1,4,FrontEnd
RandomTask_164,164,1,3,1,BackEnd
RandomTask_269,269,1,3,7,Design
RandomTask_300,300,1,3,2,BackEnd
RandomTask_90,90,1,4,6,FrontEnd
RandomTask_179,179,1,4,3,Design
RandomTask_219,219,1,1,2,BackEnd Design
RandomTask_371,371,1,1,2,BackEnd Design
RandomTask_203,203,1,6,4,FrontEnd
RandomTask_335,335,1,1,2,Design FrontEnd
RandomTask_146,146,1,6,7,Design
RandomTask_331,331,1,2,2,BackEnd FrontEnd
RandomTask_124,124,1,7,1,BackEnd
RandomTask_333,333,1,6,6,FrontEnd
RandomTask_159,159,1,7,3,Design
RandomTask_41,41,1,6,4,FrontEnd
RandomTask_217,217,1,4,2,BackEnd Design
RandomTask_282,282,1,4,1,BackEnd FrontEnd
RandomTask_160,160,1,9,7,Design
RandomTask_304,304,1,8,6,FrontEnd
RandomTask_177,177,1,5,2,BackEnd FrontEnd
RandomTask_266,266,1,9,4,FrontEnd
RandomTask_62,62,1,10,3,Design
RandomTask_151,151,1,6,1,BackEnd FrontEnd
RandomTask_78,78,1,9,6,FrontEnd
RandomTask_213,213,1,4,2,Design FrontEnd
RandomTask_224,224,1,10,7,Design
RandomTask_169,169,1,5,4,Design FrontEnd
RandomTask_221,221,1,7,1,BackEnd FrontEnd
RandomTask_198,198,1,6,3,Design FrontEnd
RandomTask_81,81,1,5,7,BackEnd Design FrontEnd
RandomTask_133,133,1,6,6,Design FrontEnd
RandomTask_161,161,1,7,2,BackEnd FrontEnd
RandomTask_272,272,1,9,4,Design FrontEnd
RandomTask_34,34,1,8,1,BackEnd Design FrontEnd
RandomTask_376,376,1,8,6,BackEnd Design FrontEnd
RandomTask_372,372,1,10,7,Design FrontEnd
RandomTask_172,172,1,10,3,Design FrontEnd
