sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_117,117,1,1,3,FrontEnd
RandomTask_267,267,1,1,4,BackEnd
RandomTask_200,200,1,5,2,BackEnd
RandomTask_51,51,1,6,1,FrontEnd
RandomTask_235,235,1,7,7,BackEnd
RandomTask_255,255,1,7,6,FrontEnd
RandomTask_46,46,1,7,4,BackEnd
RandomTask_304,304,1,8,3,FrontEnd
RandomTask_364,364,1,2,1,BackEnd FrontEnd
RandomTask_97,97,1,3,6,Design
RandomTask_358,358,1,3,3,Design FrontEnd
RandomTask_295,295,1,7,2,BackEnd
RandomTask_360,360,1,3,1,BackEnd FrontEnd
RandomTask_213,213,1,4,6,Design FrontEnd
RandomTask_175,175,1,4,3,Design FrontEnd
RandomTask_238,238,1,3,1,BackEnd Design FrontEnd
RandomTask_205,205,1,9,7,BackEnd
RandomTask_241,241,1,4,2,BackEnd Design
RandomTask_229,229,1,10,4,BackEnd
RandomTask_355,355,1,5,6,Design
RandomTask_366,366,1,5,3,Design FrontEnd
RandomTask_373,373,1,5,1,Design
RandomTask_2,2,1,6,7,Design
RandomTask_146,146,1,6,2,Design
RandomTask_363,363,1,4,4,BackEnd Design FrontEnd
RandomTask_242,242,1,7,6,Design FrontEnd
RandomTask_151,151,1,6,3,BackEnd FrontEnd
RandomTask_184,184,1,7,1,BackEnd FrontEnd
RandomTask_299,299,1,8,2,Design
RandomTask_374,374,1,7,7,BackEnd FrontEnd
RandomTask_191,191,1,8,6,Design
RandomTask_343,343,1,9,4,BackEnd FrontEnd
RandomTask_257,257,1,9,3,Design
RandomTask_61,61,1,9,2,BackEnd Design
RandomTask_123,123,1,10,1,Design
RandomTask_224,224,1,10,7,Design
RandomTask_140,140,1,1,7,BackEnd Design FrontEnd
RandomTask_73,73,1,10,6,Design FrontEnd
RandomTask_96,96,1,7,4,BackEnd Design FrontEnd
RandomTask_376,376,1,8,3,BackEnd Design FrontEnd
RandomTask_278,278,1,9,2,BackEnd Design FrontEnd
RandomTask_140,140,1,9,1,BackEnd Design FrontEnd
