sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_273,273,1,1,1,Design
RandomTask_322,322,1,1,2,BackEnd FrontEnd
RandomTask_350,350,1,2,3,Design FrontEnd
RandomTask_8,8,1,2,1,Design FrontEnd
RandomTask_379,379,1,1,7,BackEnd Design
RandomTask_400,400,1,1,4,BackEnd FrontEnd
RandomTask_337,337,1,3,2,BackEnd FrontEnd
RandomTask_306,306,1,2,6,BackEnd
RandomTask_238,238,1,3,3,BackEnd Design FrontEnd
RandomTask_22,22,1,3,1,BackEnd FrontEnd
RandomTask_365,365,1,3,2,BackEnd FrontEnd
RandomTask_97,97,1,3,7,Design
RandomTask_307,307,1,3,4,BackEnd Design
RandomTask_27,27,1,4,3,FrontEnd
RandomTask_185,185,1,3,6,FrontEnd
RandomTask_137,137,1,4,1,Design FrontEnd
RandomTask_291,291,1,4,2,BackEnd Design FrontEnd
RandomTask_277,277,1,4,3,BackEnd Design
RandomTask_37,37,1,6,4,BackEnd
RandomTask_355,355,1,5,1,Design
RandomTask_271,271,1,5,2,BackEnd Design
RandomTask_338,338,1,5,7,FrontEnd
RandomTask_311,311,1,5,6,FrontEnd
RandomTask_319,319,1,5,3,Design FrontEnd
RandomTask_348,348,1,6,1,FrontEnd
RandomTask_120,120,1,6,2,BackEnd Design FrontEnd
RandomTask_247,247,1,7,4,BackEnd
RandomTask_320,320,1,6,3,BackEnd Design FrontEnd
RandomTask_262,262,1,7,1,Design FrontEnd
RandomTask_255,255,1,7,7,FrontEnd
RandomTask_251,251,1,8,2,BackEnd Design FrontEnd
RandomTask_398,398,1,7,6,FrontEnd
RandomTask_205,205,1,9,4,BackEnd
RandomTask_297,297,1,8,3,Design FrontEnd
RandomTask_50,50,1,9,1,BackEnd Design FrontEnd
RandomTask_121,121,1,9,2,BackEnd Design FrontEnd
RandomTask_272,272,1,9,3,Design FrontEnd
RandomTask_66,66,1,10,7,FrontEnd
RandomTask_86,86,1,10,6,BackEnd
RandomTask_60,60,1,10,1,Design
RandomTask_334,334,1,10,4,BackEnd FrontEnd
