sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_89,89,1,2,6,BackEnd Design FrontEnd
RandomTask_6,6,1,6,1,BackEnd
RandomTask_363,363,1,4,6,BackEnd Design FrontEnd
RandomTask_268,268,1,7,7,BackEnd Design FrontEnd
RandomTask_61,61,1,9,3,BackEnd Design
RandomTask_343,343,1,9,2,BackEnd FrontEnd
RandomTask_202,202,1,2,3,BackEnd
RandomTask_115,115,1,10,4,BackEnd Design FrontEnd
RandomTask_221,221,1,7,7,BackEnd FrontEnd
RandomTask_380,380,1,9,1,BackEnd FrontEnd
RandomTask_400,400,1,1,1,BackEnd FrontEnd
RandomTask_376,376,1,8,6,BackEnd Design FrontEnd
RandomTask_357,357,1,9,2,Design
RandomTask_364,364,1,2,6,BackEnd FrontEnd
RandomTask_349,349,1,6,4,BackEnd Design
RandomTask_209,209,1,9,3,BackEnd
RandomTask_286,286,1,5,1,Design
RandomTask_161,161,1,7,7,BackEnd FrontEnd
RandomTask_336,336,1,3,7,BackEnd FrontEnd
RandomTask_271,271,1,5,4,BackEnd Design
RandomTask_297,297,1,8,2,Design FrontEnd
RandomTask_261,261,1,6,1,Design
RandomTask_30,30,1,7,6,BackEnd FrontEnd
RandomTask_79,79,1,2,2,Design FrontEnd
RandomTask_35,35,1,2,1,BackEnd FrontEnd
RandomTask_156,156,1,5,7,BackEnd FrontEnd
RandomTask_158,158,1,10,3,Design
RandomTask_331,331,1,2,7,BackEnd FrontEnd
RandomTask_298,298,1,2,7,BackEnd FrontEnd
RandomTask_318,318,1,6,6,BackEnd FrontEnd
RandomTask_227,227,1,5,1,BackEnd FrontEnd
RandomTask_294,294,1,10,4,BackEnd Design
RandomTask_10,10,1,8,2,Design
RandomTask_167,167,1,4,7,Design FrontEnd
RandomTask_295,295,1,7,3,BackEnd
RandomTask_43,43,1,4,1,BackEnd
RandomTask_95,95,1,2,2,Design
RandomTask_31,31,1,2,4,BackEnd FrontEnd
RandomTask_375,375,1,9,6,BackEnd FrontEnd
RandomTask_247,247,1,7,3,BackEnd
RandomTask_46,46,1,7,1,BackEnd
RandomTask_16,16,1,9,7,BackEnd FrontEnd
