sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_202,202,1,2,7,BackEnd
RandomTask_336,336,1,3,3,BackEnd FrontEnd
RandomTask_400,400,1,1,7,BackEnd FrontEnd
RandomTask_364,364,1,2,3,BackEnd FrontEnd
RandomTask_35,35,1,2,7,BackEnd FrontEnd
RandomTask_91,91,1,1,3,Design FrontEnd
RandomTask_6,6,1,6,6,BackEnd
RandomTask_221,221,1,7,4,BackEnd FrontEnd
RandomTask_268,268,1,7,1,BackEnd Design FrontEnd
RandomTask_61,61,1,9,2,BackEnd Design
RandomTask_363,363,1,4,2,BackEnd Design FrontEnd
RandomTask_343,343,1,9,7,BackEnd FrontEnd
RandomTask_161,161,1,7,4,BackEnd FrontEnd
RandomTask_380,380,1,9,3,BackEnd FrontEnd
RandomTask_357,357,1,9,6,Design
RandomTask_115,115,1,10,1,BackEnd Design FrontEnd
RandomTask_286,286,1,5,7,Design
RandomTask_79,79,1,2,7,Design FrontEnd
RandomTask_30,30,1,7,4,BackEnd FrontEnd
RandomTask_297,297,1,8,3,Design FrontEnd
RandomTask_209,209,1,9,2,BackEnd
RandomTask_331,331,1,2,4,BackEnd FrontEnd
RandomTask_261,261,1,6,1,Design
RandomTask_298,298,1,2,4,BackEnd FrontEnd
RandomTask_158,158,1,10,6,Design
RandomTask_95,95,1,2,1,Design
RandomTask_156,156,1,5,2,BackEnd FrontEnd
RandomTask_89,89,1,2,1,BackEnd Design FrontEnd
RandomTask_342,342,1,1,1,Design
RandomTask_10,10,1,8,7,Design
RandomTask_376,376,1,8,3,BackEnd Design FrontEnd
RandomTask_227,227,1,5,6,BackEnd FrontEnd
RandomTask_318,318,1,6,4,BackEnd FrontEnd
RandomTask_43,43,1,4,7,BackEnd
RandomTask_349,349,1,6,1,BackEnd Design
RandomTask_295,295,1,7,2,BackEnd
RandomTask_271,271,1,5,3,BackEnd Design
RandomTask_31,31,1,2,1,BackEnd FrontEnd
RandomTask_167,167,1,4,3,Design FrontEnd
RandomTask_375,375,1,9,6,BackEnd FrontEnd
RandomTask_247,247,1,7,7,BackEnd
RandomTask_294,294,1,10,4,BackEnd Design
RandomTask_46,46,1,7,1,BackEnd
RandomTask_16,16,1,9,2,BackEnd FrontEnd
RandomTask_103,103,1,5,3,Design
RandomTask_64,64,1,5,6,BackEnd Design
RandomTask_347,347,1,5,4,FrontEnd
RandomTask_140,140,1,10,7,BackEnd Design FrontEnd
