sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_58,58,1,1,7,BackEnd Design FrontEnd
RandomTask_293,293,1,5,4,BackEnd FrontEnd
RandomTask_70,70,1,5,6,BackEnd FrontEnd
RandomTask_28,28,1,6,7,BackEnd FrontEnd
RandomTask_278,278,1,9,1,BackEnd Design FrontEnd
RandomTask_308,308,1,10,3,BackEnd Design FrontEnd
RandomTask_361,361,1,10,2,BackEnd Design FrontEnd
RandomTask_230,230,1,9,4,BackEnd FrontEnd
RandomTask_358,358,1,3,2,Design FrontEnd
RandomTask_124,124,1,7,7,BackEnd
RandomTask_153,153,1,4,1,BackEnd Design
RandomTask_170,170,1,4,3,BackEnd Design
RandomTask_223,223,1,9,6,BackEnd Design
RandomTask_8,8,1,2,2,Design FrontEnd
RandomTask_117,117,1,1,6,FrontEnd
RandomTask_398,398,1,7,4,FrontEnd
RandomTask_101,101,1,6,7,BackEnd
RandomTask_306,306,1,2,6,BackEnd
RandomTask_274,274,1,4,7,BackEnd
RandomTask_135,135,1,10,1,BackEnd Design
RandomTask_348,348,1,6,4,FrontEnd
RandomTask_259,259,1,9,3,BackEnd Design
RandomTask_394,394,1,3,1,FrontEnd
RandomTask_190,190,1,5,6,BackEnd
RandomTask_276,276,1,10,2,Design FrontEnd
RandomTask_265,265,1,6,4,FrontEnd
RandomTask_131,131,1,3,2,FrontEnd
RandomTask_346,346,1,8,3,FrontEnd
RandomTask_102,102,1,9,1,Design
RandomTask_17,17,1,10,7,Design FrontEnd
RandomTask_304,304,1,8,6,FrontEnd
RandomTask_302,302,1,2,6,Design
RandomTask_173,173,1,3,7,Design
RandomTask_78,78,1,9,4,FrontEnd
RandomTask_195,195,1,9,2,FrontEnd
RandomTask_381,381,1,3,6,Design
RandomTask_299,299,1,8,3,Design
RandomTask_87,87,1,9,1,Design
RandomTask_92,92,1,8,7,Design
