sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_54,54,1,1,1,FrontEnd
RandomTask_58,58,1,1,7,BackEnd Design FrontEnd
RandomTask_287,287,1,1,2,BackEnd Design FrontEnd
RandomTask_208,208,1,2,6,Design
RandomTask_95,95,1,2,4,Design
RandomTask_307,307,1,3,1,BackEnd Design
RandomTask_187,187,1,3,7,BackEnd FrontEnd
RandomTask_373,373,1,5,2,Design
RandomTask_32,32,1,4,3,Design
RandomTask_291,291,1,4,6,BackEnd Design FrontEnd
RandomTask_56,56,1,6,2,Design FrontEnd
RandomTask_165,165,1,7,4,Design
RandomTask_370,370,1,6,1,BackEnd Design
RandomTask_317,317,1,6,7,Design FrontEnd
RandomTask_341,341,1,10,6,Design
RandomTask_266,266,1,9,3,FrontEnd
RandomTask_161,161,1,7,4,BackEnd FrontEnd
RandomTask_320,320,1,6,1,BackEnd Design FrontEnd
RandomTask_253,253,1,9,2,FrontEnd
RandomTask_61,61,1,9,6,BackEnd Design
RandomTask_45,45,1,9,7,BackEnd Design
RandomTask_118,118,1,9,3,BackEnd FrontEnd
RandomTask_50,50,1,9,1,BackEnd Design FrontEnd
RandomTask_115,115,1,10,2,BackEnd Design FrontEnd
RandomTask_334,334,1,10,4,BackEnd FrontEnd
RandomTask_108,108,1,10,6,BackEnd Design FrontEnd
