sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_149,149,1,3,3,BackEnd Design
RandomTask_185,185,1,3,4,FrontEnd
RandomTask_277,277,1,4,6,BackEnd Design
RandomTask_179,179,1,4,1,Design
RandomTask_265,265,1,6,7,FrontEnd
RandomTask_153,153,1,4,3,BackEnd Design
RandomTask_304,304,1,8,2,FrontEnd
RandomTask_400,400,1,1,2,BackEnd FrontEnd
RandomTask_101,101,1,6,6,BackEnd
RandomTask_2,2,1,6,1,Design
RandomTask_321,321,1,1,2,BackEnd FrontEnd
RandomTask_183,183,1,9,4,FrontEnd
RandomTask_162,162,1,1,2,BackEnd Design FrontEnd
RandomTask_155,155,1,6,3,BackEnd
RandomTask_266,266,1,9,7,FrontEnd
RandomTask_214,214,1,6,6,BackEnd Design
RandomTask_390,390,1,4,4,Design FrontEnd
RandomTask_310,310,1,4,2,Design FrontEnd
RandomTask_399,399,1,8,1,Design
RandomTask_157,157,1,8,3,BackEnd
RandomTask_316,316,1,4,7,BackEnd FrontEnd
RandomTask_63,63,1,5,4,BackEnd FrontEnd
RandomTask_69,69,1,5,2,Design FrontEnd
RandomTask_142,142,1,9,6,BackEnd Design
RandomTask_319,319,1,5,7,Design FrontEnd
RandomTask_160,160,1,9,1,Design
RandomTask_229,229,1,10,3,BackEnd
RandomTask_56,56,1,6,4,Design FrontEnd
RandomTask_198,198,1,6,2,Design FrontEnd
RandomTask_128,128,1,6,1,BackEnd Design FrontEnd
RandomTask_239,239,1,10,6,Design
RandomTask_397,397,1,7,7,BackEnd FrontEnd
RandomTask_207,207,1,7,3,Design FrontEnd
RandomTask_374,374,1,7,4,BackEnd FrontEnd
RandomTask_367,367,1,8,2,Design FrontEnd
RandomTask_50,50,1,9,1,BackEnd Design FrontEnd
RandomTask_272,272,1,9,6,Design FrontEnd
RandomTask_17,17,1,10,7,Design FrontEnd
RandomTask_308,308,1,10,3,BackEnd Design FrontEnd
