sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_289,289,1,2,1,BackEnd
RandomTask_228,228,1,2,6,Design FrontEnd
RandomTask_127,127,1,2,7,Design FrontEnd
RandomTask_300,300,1,3,4,BackEnd
RandomTask_53,53,1,3,2,Design
RandomTask_395,395,1,3,3,Design
RandomTask_83,83,1,3,1,BackEnd Design
RandomTask_210,210,1,3,6,BackEnd Design
RandomTask_22,22,1,3,7,BackEnd FrontEnd
RandomTask_148,148,1,4,2,Design FrontEnd
RandomTask_241,241,1,4,3,BackEnd Design
RandomTask_386,386,1,5,4,BackEnd
RandomTask_110,110,1,6,1,Design
RandomTask_100,100,1,6,6,FrontEnd
RandomTask_7,7,1,6,7,Design
RandomTask_57,57,1,4,3,BackEnd Design FrontEnd
RandomTask_41,41,1,6,2,FrontEnd
RandomTask_69,69,1,5,4,Design FrontEnd
RandomTask_236,236,1,5,1,Design FrontEnd
RandomTask_81,81,1,5,7,BackEnd Design FrontEnd
RandomTask_216,216,1,6,6,BackEnd FrontEnd
RandomTask_183,183,1,9,3,FrontEnd
RandomTask_253,253,1,9,2,FrontEnd
RandomTask_296,296,1,9,4,BackEnd
RandomTask_184,184,1,7,1,BackEnd FrontEnd
RandomTask_189,189,1,6,3,BackEnd Design FrontEnd
RandomTask_222,222,1,10,7,BackEnd
RandomTask_62,62,1,10,6,Design
RandomTask_225,225,1,8,2,Design FrontEnd
RandomTask_105,105,1,8,1,BackEnd Design FrontEnd
RandomTask_45,45,1,9,4,BackEnd Design
RandomTask_290,290,1,9,6,BackEnd Design FrontEnd
RandomTask_73,73,1,10,3,Design FrontEnd
RandomTask_256,256,1,10,7,BackEnd Design
