sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_322,322,1,1,2,BackEnd FrontEnd
RandomTask_292,292,1,1,7,BackEnd Design FrontEnd
RandomTask_371,371,1,1,6,BackEnd Design
RandomTask_258,258,1,1,4,Design
RandomTask_359,359,1,2,1,BackEnd FrontEnd
RandomTask_113,113,1,2,3,BackEnd Design
RandomTask_307,307,1,3,2,BackEnd Design
RandomTask_134,134,1,3,7,BackEnd FrontEnd
RandomTask_138,138,1,3,6,BackEnd Design FrontEnd
RandomTask_353,353,1,3,4,BackEnd
RandomTask_36,36,1,3,1,BackEnd
RandomTask_193,193,1,4,3,Design FrontEnd
RandomTask_175,175,1,4,2,Design FrontEnd
RandomTask_226,226,1,4,7,BackEnd Design FrontEnd
RandomTask_27,27,1,4,6,FrontEnd
RandomTask_111,111,1,4,1,FrontEnd
RandomTask_200,200,1,5,4,BackEnd
RandomTask_252,252,1,5,3,BackEnd Design FrontEnd
RandomTask_169,169,1,5,2,Design FrontEnd
RandomTask_194,194,1,5,7,Design FrontEnd
RandomTask_198,198,1,6,6,Design FrontEnd
RandomTask_171,171,1,6,1,FrontEnd
RandomTask_3,3,1,7,4,Design
RandomTask_203,203,1,6,3,FrontEnd
RandomTask_133,133,1,6,2,Design FrontEnd
RandomTask_38,38,1,6,7,Design FrontEnd
RandomTask_98,98,1,6,6,BackEnd FrontEnd
RandomTask_397,397,1,7,1,BackEnd FrontEnd
RandomTask_159,159,1,7,4,Design
RandomTask_231,231,1,7,3,BackEnd Design FrontEnd
RandomTask_385,385,1,7,2,Design FrontEnd
RandomTask_77,77,1,7,7,FrontEnd
RandomTask_104,104,1,7,6,BackEnd FrontEnd
RandomTask_235,235,1,7,1,BackEnd
RandomTask_163,163,1,7,4,BackEnd Design
RandomTask_309,309,1,7,3,Design
RandomTask_157,157,1,8,2,BackEnd
RandomTask_143,143,1,8,7,Design
RandomTask_399,399,1,8,6,Design
RandomTask_118,118,1,9,1,BackEnd FrontEnd
RandomTask_109,109,1,9,3,BackEnd Design FrontEnd
RandomTask_60,60,1,10,4,Design
RandomTask_303,303,1,10,2,Design
RandomTask_362,362,1,10,7,Design
RandomTask_215,215,1,10,6,Design FrontEnd
RandomTask_66,66,1,10,1,FrontEnd
RandomTask_239,239,1,10,3,Design
RandomTask_82,82,1,10,4,Design
