sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_58,58,1,1,7,BackEnd Design FrontEnd
RandomTask_117,117,1,1,6,FrontEnd
RandomTask_321,321,1,1,3,BackEnd FrontEnd
RandomTask_196,196,1,1,1,FrontEnd
RandomTask_204,204,1,1,4,BackEnd Design
RandomTask_8,8,1,2,2,Design FrontEnd
RandomTask_302,302,1,2,7,Design
RandomTask_358,358,1,3,6,Design FrontEnd
RandomTask_131,131,1,3,3,FrontEnd
RandomTask_182,182,1,3,1,BackEnd
RandomTask_173,173,1,3,4,Design
RandomTask_381,381,1,3,2,Design
RandomTask_97,97,1,3,7,Design
RandomTask_153,153,1,4,6,BackEnd Design
RandomTask_274,274,1,4,3,BackEnd
RandomTask_170,170,1,4,4,BackEnd Design
RandomTask_213,213,1,4,2,Design FrontEnd
RandomTask_293,293,1,5,1,BackEnd FrontEnd
RandomTask_70,70,1,5,7,BackEnd FrontEnd
RandomTask_190,190,1,5,6,BackEnd
RandomTask_246,246,1,5,3,BackEnd
RandomTask_12,12,1,5,4,BackEnd Design
RandomTask_265,265,1,6,2,FrontEnd
RandomTask_101,101,1,6,1,BackEnd
RandomTask_28,28,1,6,7,BackEnd FrontEnd
RandomTask_398,398,1,7,6,FrontEnd
RandomTask_124,124,1,7,3,BackEnd
RandomTask_55,55,1,7,4,BackEnd
RandomTask_346,346,1,8,2,FrontEnd
RandomTask_304,304,1,8,1,FrontEnd
RandomTask_299,299,1,8,7,Design
RandomTask_92,92,1,8,6,Design
RandomTask_15,15,1,8,4,BackEnd Design
RandomTask_78,78,1,9,3,FrontEnd
RandomTask_34,34,1,8,2,BackEnd Design FrontEnd
RandomTask_230,230,1,9,1,BackEnd FrontEnd
RandomTask_102,102,1,9,7,Design
RandomTask_223,223,1,9,6,BackEnd Design
RandomTask_87,87,1,9,4,Design
RandomTask_195,195,1,9,3,FrontEnd
RandomTask_278,278,1,9,2,BackEnd Design FrontEnd
RandomTask_86,86,1,10,1,BackEnd
RandomTask_259,259,1,9,7,BackEnd Design
RandomTask_361,361,1,10,6,BackEnd Design FrontEnd
RandomTask_135,135,1,10,4,BackEnd Design
RandomTask_276,276,1,10,3,Design FrontEnd
RandomTask_17,17,1,10,2,Design FrontEnd
RandomTask_344,344,1,10,1,BackEnd Design
