sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_98,98,1,6,BackEnd FrontEnd
RandomTask_110,110,1,6,Design
RandomTask_128,128,1,6,BackEnd Design FrontEnd
RandomTask_30,30,1,7,BackEnd FrontEnd
RandomTask_225,225,1,8,Design FrontEnd
RandomTask_122,122,1,1,BackEnd FrontEnd
RandomTask_114,114,1,2,Design FrontEnd
RandomTask_244,244,1,10,FrontEnd
RandomTask_288,288,1,10,BackEnd
RandomTask_366,366,1,5,Design FrontEnd
RandomTask_52,52,1,1,BackEnd Design FrontEnd
RandomTask_180,180,1,2,BackEnd
RandomTask_266,266,1,9,FrontEnd
RandomTask_260,260,1,3,Design
RandomTask_152,152,1,1,FrontEnd
RandomTask_162,162,1,1,BackEnd Design FrontEnd
RandomTask_48,48,1,1,Design FrontEnd
RandomTask_312,312,1,4,BackEnd Design FrontEnd
RandomTask_328,328,1,5,BackEnd
RandomTask_389,389,1,3,Design FrontEnd
RandomTask_254,254,1,2,Design FrontEnd
RandomTask_58,58,1,1,BackEnd Design FrontEnd
RandomTask_207,207,1,7,Design FrontEnd
RandomTask_101,101,1,6,BackEnd
RandomTask_91,91,1,1,Design FrontEnd
RandomTask_95,95,1,2,Design
RandomTask_392,392,1,9,FrontEnd
RandomTask_286,286,1,5,Design
RandomTask_340,340,1,10,Design
RandomTask_217,217,1,4,BackEnd Design
RandomTask_264,264,1,7,BackEnd FrontEnd
RandomTask_87,87,1,9,Design
RandomTask_46,46,1,7,BackEnd
RandomTask_154,154,1,3,FrontEnd
RandomTask_57,57,1,4,BackEnd Design FrontEnd
RandomTask_303,303,1,10,Design
RandomTask_167,167,1,4,Design FrontEnd
RandomTask_370,370,1,6,BackEnd Design
RandomTask_15,15,1,8,BackEnd Design
RandomTask_16,16,1,9,BackEnd FrontEnd
RandomTask_33,33,1,8,BackEnd
RandomTask_155,155,1,6,BackEnd
RandomTask_220,220,1,3,BackEnd Design
RandomTask_175,175,1,4,Design FrontEnd
RandomTask_222,222,1,10,BackEnd
RandomTask_68,68,1,7,BackEnd Design
